num,Label,Area,PArea
86,22.jpg:1932-3718,17634495,0.07692
87,22.jpg:4740-3686,17691116,0.24354
88,22.jpg:7548-3654,17521084,0.29622
89,23.jpg:4842-3762,52016046,0.35486
90,23.jpg:2078-3814,17417379,0.25081
91,23.jpg:4842-3755,17465423,0.35909
92,23.jpg:7606-3698,17135178,0.45655
93,24.jpg:4764-4026,50860589,0.17154
94,24.jpg:1988-4070,17112755,0.15482
95,24.jpg:4764-4015,17175345,0.18263
96,24.jpg:7540-3962,16572192,0.17727
97,25.jpg:5010-3684,50191566,0.11135
98,25.jpg:2358-3739,16619559,0.12976
99,25.jpg:5010-3702,16756050,0.09929
100,25.jpg:7662-3664,16816639,0.10523
101,26.jpg:4854-3636,49913345,0.21816
102,26.jpg:2138-3659,16027350,0.17576
103,26.jpg:4854-3652,17136178,0.21995
104,26.jpg:7570-3633,16755537,0.25667
105,27.jpg:4944-3942,49709673,0.11031
106,27.jpg:2192-3942,16280878,0.08316
107,27.jpg:4944-3961,17480672,0.10801
108,27.jpg:7696-3982,15925359,0.14066
109,28.jpg:4770-3762,50541452,0.13491
110,28.jpg:2038-3778,16933605,0.07013
111,28.jpg:4770-3768,17196145,0.14210
112,28.jpg:7502-3758,16406686,0.19424
113,29.jpg:4872-3666,52555814,0.02883
114,29.jpg:2040-3714,16968743,0.02667
115,29.jpg:4872-3690,17972771,0.02655
116,29.jpg:7704-3666,17625397,0.03322
117,30.jpg:4788-3720,52904132,0.05280
118,30.jpg:1948-3739,17325089,0.07321
119,30.jpg:4788-3720,18106647,0.04049
120,30.jpg:7628-3720,17460265,0.04534
121,31.jpg:4794-3744,51884193,0.04475
122,31.jpg:1998-3744,17486415,0.04445
123,31.jpg:4794-3727,17547476,0.04533
124,31.jpg:7590-3710,16858422,0.04443
125,32.jpg:4680-3671,54120001,0.10375
126,32.jpg:1776-3671,17546636,0.06998
127,32.jpg:4680-3639,18449731,0.07398
128,32.jpg:7584-3622,18108935,0.16687
129,33.jpg:4710-3660,51254640,0.14245
130,33.jpg:1914-3660,16962393,0.16336
131,33.jpg:4710-3639,17419479,0.14790
132,33.jpg:7506-3619,16894067,0.11564
133,34.jpg:4602-3768,51026068,0.18120
134,34.jpg:1838-3760,16124462,0.15508
135,34.jpg:4602-3776,17499953,0.19036
136,34.jpg:7366-3795,17406951,0.19609
137,35.jpg:4650-3618,51431020,0.19226
138,35.jpg:1878-3650,17167927,0.17592
139,35.jpg:4650-3604,17106699,0.22277
140,35.jpg:7422-3558,17168033,0.17823
141,36.jpg:4734-3906,52433070,0.16449
142,36.jpg:1962-3951,17569417,0.16923
143,36.jpg:4734-3891,17489849,0.14778
144,36.jpg:7506-3830,17370193,0.17680
145,37.jpg:4902-3720,52045562,0.15060
146,37.jpg:2106-3720,17300614,0.18722
147,37.jpg:4902-3733,17588934,0.11879
148,37.jpg:7698-3747,17126204,0.14640
149,38.jpg:4698-3708,53231557,0.05815
150,38.jpg:1886-3716,17581798,0.07223
151,38.jpg:4698-3688,17857787,0.06027
152,38.jpg:7510-3660,17798420,0.04208
153,39.jpg:4932-3846,50442822,0.08088
154,39.jpg:2220-3846,16542939,0.06664
155,39.jpg:4932-3843,17058300,0.08421
156,39.jpg:7644-3823,16855404,0.09145
157,40.jpg:4896-3708,51116322,0.13917
158,40.jpg:2160-3717,16726293,0.12360
159,40.jpg:4896-3708,17268238,0.10862
160,40.jpg:7632-3700,17120853,0.18522
161,41.jpg:5016-3636,47194487,0.17010
162,41.jpg:2416-3638,14574799,0.13868
163,41.jpg:5016-3637,16390910,0.14022
164,41.jpg:7616-3636,16227409,0.22857
165,42.jpg:4890-3780,50489502,0.17779
166,42.jpg:2206-3780,16858007,0.13026
167,42.jpg:4890-3767,17097185,0.20703
168,42.jpg:7574-3758,16546404,0.19587
169,43.jpg:4728-3768,54016642,0.07677
170,43.jpg:1864-3768,17702302,0.05659
171,43.jpg:4728-3781,18371940,0.09235
172,43.jpg:7592-3798,17915938,0.07997
173,44.jpg:4692-3972,51319909,0.07153
174,44.jpg:1884-3932,16716269,0.08784
175,44.jpg:4692-3960,17431364,0.05769
176,44.jpg:7500-3988,17186108,0.06972
177,45.jpg:4782-3600,53993333,0.14128
178,45.jpg:1946-3676,17579515,0.16680
179,45.jpg:4782-3621,18257239,0.10894
