 ,Label,Area,%Area
138,35.jpg:1922-3750,17553449,0.18415
139,35.jpg:4686-3751,17701003,0.22699
140,35.jpg:7450-3753,17271343,0.18193
141,36.jpg:4680-3858,50056278,0.25469
142,36.jpg:1944-3722,15307392,0.23366
143,36.jpg:4680-3796,17222058,0.28469
144,36.jpg:7416-3870,17524892,0.24358
145,37.jpg:4716-3744,54876253,0.07195
146,37.jpg:1852-3781,17744034,0.06262
147,37.jpg:4716-3762,18424849,0.07727
148,37.jpg:7580-3744,18695329,0.07548
149,38.jpg:4734-3798,52305265,0.10385
150,38.jpg:1922-3786,16957567,0.09486
151,38.jpg:4734-3792,17693421,0.10487
152,38.jpg:7546-3798,17639766,0.11149
153,39.jpg:4620-3726,54235218,0.12476
154,39.jpg:1820-3742,18137398,0.11096
155,39.jpg:4620-3698,18141596,0.09872
156,39.jpg:7420-3654,17949968,0.16518
157,40.jpg:4650-3564,52221391,0.08156
158,40.jpg:1854-3589,16908789,0.06009
159,40.jpg:4650-3576,17641805,0.08011
160,40.jpg:7446-3564,17660519,0.10347
161,41.jpg:4638-3774,52899701,0.17757
162,41.jpg:1850-3774,17711776,0.12844
163,41.jpg:4638-3781,17801833,0.20349
164,41.jpg:7426-3789,17394754,0.20119
165,42.jpg:4686-3750,51869532,0.25329
166,42.jpg:1946-3760,17186233,0.19625
167,42.jpg:4686-3757,17337402,0.25833
168,42.jpg:7426-3750,17345318,0.30488
169,43.jpg:4644-4032,54444172,0.06392
170,43.jpg:1756-3973,17855835,0.05577
171,43.jpg:4644-4020,18582760,0.05349
172,43.jpg:7532-4068,17997212,0.08279
173,44.jpg:4746-3690,53710680,0.11800
174,44.jpg:1910-3667,17964092,0.10724
175,44.jpg:4746-3684,17969560,0.12749
176,44.jpg:7582-3690,17770477,0.11940
177,45.jpg:4710-4032,52997172,0.13970
178,45.jpg:1858-4044,18085348,0.10406
179,45.jpg:4710-4009,18309415,0.13547
180,45.jpg:7562-3970,16602980,0.18323
181,46.jpg:4698-3798,53375106,0.11971
182,46.jpg:1870-3790,17838664,0.07664
183,46.jpg:4698-3796,17967760,0.12795
184,46.jpg:7526-3802,17563101,0.15503
185,47.jpg:4692-3894,52283122,0.18970
186,47.jpg:1932-3868,17348007,0.16697
187,47.jpg:4692-3901,17801259,0.18845
188,47.jpg:7452-3930,17135618,0.21390
189,48.jpg:4680-3828,50815872,0.19389
190,48.jpg:1944-3813,16397311,0.17214
191,48.jpg:4680-3820,17132009,0.19326
